Type,Parent Directory,Name,Size
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,"['commit-msg.sample', 'pre-rebase.sample', 'pre-commit.sample', 'applypatch-msg.sample', 'fsmonitor-watchman.sample', 'pre-receive.sample', 'prepare-commit-msg.sample', 'post-update.sample', 'pre-merge-commit.sample', 'pre-applypatch.sample', 'pre-push.sample', 'update.sample', 'push-to-checkout.sample']",23513
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,commit-msg.sample,896
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,pre-rebase.sample,4898
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,pre-commit.sample,1643
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,applypatch-msg.sample,478
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,fsmonitor-watchman.sample,4726
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,pre-receive.sample,544
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,prepare-commit-msg.sample,1492
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,post-update.sample,189
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,pre-merge-commit.sample,416
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,pre-applypatch.sample,424
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,pre-push.sample,1374
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,update.sample,3650
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/hooks,push-to-checkout.sample,2783
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/refs,[],0
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/refs/heads,['main'],41
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/refs/heads,main,41
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/refs/tags,[],0
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/refs/remotes,[],0
Directory,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/refs/remotes/origin,['main'],41
File,/Users/vladislav/Desktop/Masha/GB/Python_3/Lesson_8/.git/refs/remotes/origin,main,41
